Model,City,MAE,RMSE,R2,MAPE
SARIMA,Beijing,38.542398127580626,45.202327825690844,-0.20088763563179857,81.2128381091128
XGBoost,Beijing,8.012067794799805,10.255616300859213,0.938251256942749,14.885248013118757
LSTM,Beijing,29.849284455461323,37.24364808085719,0.18698954230918774,63.74987093543268
Transformer,Beijing,34.07085449290725,41.51259063304826,-0.01006977798738995,69.235874786425
SARIMA,Newdelhi,61.39929217056691,93.51967443173288,-0.3561476081097479,29.79743264290174
XGBoost,Newdelhi,9.407858500761144,14.90511996928556,0.9656550299795815,5.781486215972819
LSTM,Newdelhi,24.690259282772537,37.15118375729967,0.7870527077742333,14.463898644494366
Transformer,Newdelhi,32.500215431429304,49.502428001907,0.621923389356325,18.707016602385952
SARIMA,Kathmandu,6.505147135911268,7.577371934384127,-8.783482138006562,13.964664403479842
XGBoost,Kathmandu,0.4485874936462403,0.6032949354521266,0.938063490840947,1.0122965894146427
LSTM,Kathmandu,3.0876557916325043,3.107240484722197,-0.6430101525852792,6.71700359012084
Transformer,Kathmandu,4.314941511256065,4.463721080787312,-2.3906628866793147,9.503499814318552
